id,url,name,level,pid,createtime,updatetime,isvalid,page,col1,col2,col3,bigpname,bigpid,ismall
10-1-18-9,https://www.amazon.de/gp/bestsellers/apparel/1981852031,Strumpfhosen,4,10-1-18,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19,https://www.amazon.de/gp/bestsellers/apparel/1981704031,Streetwear,3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-19-1,https://www.amazon.de/gp/bestsellers/apparel/4551452031,Gürtel,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-10,https://www.amazon.de/gp/bestsellers/apparel/1981712031,"Shirts & Blusen",4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-11,https://www.amazon.de/gp/bestsellers/apparel/1981713031,Shorts,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-13,https://www.amazon.de/gp/bestsellers/apparel/1981707031,Sportunterwäsche,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-19-13-1,https://www.amazon.de/gp/bestsellers/apparel/1981709031,Sport-BHs,5,10-1-19-13,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-13-2,https://www.amazon.de/gp/bestsellers/apparel/2972636031,Sportunterhemden,5,10-1-19-13,"2016-12-07 11:40:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-13-3,https://www.amazon.de/gp/bestsellers/apparel/1981708031,Sportunterhosen,5,10-1-19-13,"2016-12-07 11:40:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-14,https://www.amazon.de/gp/bestsellers/apparel/1981715031,"Strumpfhosen & Leggings",4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-16,https://www.amazon.de/gp/bestsellers/apparel/1981716031,Trainingsanzüge,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-17,https://www.amazon.de/gp/bestsellers/apparel/1981706031,Westen,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-2,https://www.amazon.de/gp/bestsellers/apparel/1981717031,Hosen,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-3,https://www.amazon.de/gp/bestsellers/apparel/1981719031,Jacken,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-4,https://www.amazon.de/gp/bestsellers/apparel/4551451031,Kappen,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-6,https://www.amazon.de/gp/bestsellers/apparel/4551450031,Kleider,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-7,https://www.amazon.de/gp/bestsellers/apparel/1981710031,Pullover,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-8,https://www.amazon.de/gp/bestsellers/apparel/1981714031,Röcke,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-19-9,https://www.amazon.de/gp/bestsellers/apparel/1981711031,Sets,4,10-1-19,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2,https://www.amazon.de/gp/bestsellers/apparel/1981860031,Bademode,3,10-1,"2016-12-07 11:31:16",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-2-1,https://www.amazon.de/gp/bestsellers/apparel/1981866031,Badeanzüge,4,10-1-2,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-2,https://www.amazon.de/gp/bestsellers/apparel/1981861031,Bikinis,4,10-1-2,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-2-2-1,https://www.amazon.de/gp/bestsellers/apparel/1981863031,Bikini-Sets,5,10-1-2-2,"2016-12-07 11:40:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-2-2,https://www.amazon.de/gp/bestsellers/apparel/1981862031,Bikinihosen,5,10-1-2-2,"2016-12-07 11:40:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-2-3,https://www.amazon.de/gp/bestsellers/apparel/1981864031,Bikinioberteile,5,10-1-2-2,"2016-12-07 11:40:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-3,https://www.amazon.de/gp/bestsellers/apparel/1981865031,"Pareos & Strandkleider",4,10-1-2,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-4,https://www.amazon.de/gp/bestsellers/apparel/1981867031,Badeshorts,4,10-1-2,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-2-5,https://www.amazon.de/gp/bestsellers/apparel/1981868031,Tankinis,4,10-1-2,"2016-12-07 11:33:24",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-20,https://www.amazon.de/gp/bestsellers/apparel/1981859031,Sweatshirts,3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-21,https://www.amazon.de/gp/bestsellers/apparel/1981869031,"Tops & Shirts",3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-21-1,https://www.amazon.de/gp/bestsellers/apparel/1981870031,Langarmshirts,4,10-1-21,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-21-2,https://www.amazon.de/gp/bestsellers/apparel/1981871031,Poloshirts,4,10-1-21,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-21-3,https://www.amazon.de/gp/bestsellers/apparel/1981872031,T-Shirts,4,10-1-21,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-21-4,https://www.amazon.de/gp/bestsellers/apparel/1981873031,Tops,4,10-1-21,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-22,https://www.amazon.de/gp/bestsellers/apparel/1981774031,Umstandskleidung,3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-22-1,https://www.amazon.de/gp/bestsellers/apparel/1981780031,"Blusen & Tuniken",4,10-1-22,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-22-10,https://www.amazon.de/gp/bestsellers/apparel/1981804031,Overalls,4,10-1-22,"2016-12-07 11:33:25",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
